Name,SMILE
00284001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccnc(-c4nc(C5CC5)no4)c3)cc2Cl)CS1(=O)=O
00295001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccnc(-c4nc(C5CC5)no4)c3)cc2F)CS1(=O)=O
00182001.cdx,Cc1nnc(-c2cccc(-c3cc(Cl)c([C@]4(C)CS(=O)(=O)N(C)C(=N)N4)s3)c2)o1
00297001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccnc(-c4ccccc4)c3)cc2F)CS1(=O)=O
00298001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccnc(-c4cncnc4)c3)cc2F)CS1(=O)=O
00299001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccnc(-c4cnco4)c3)cc2F)CS1(=O)=O
00305001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cncc(-c4nnc(C5CC5)o4)c3)cc2Cl)CS1(=O)=O
00306001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cc(-c4nnco4)ncc3F)cc2Cl)CS1(=O)=O
00307001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cc(-c4nnco4)ncc3F)cc2F)CS1(=O)=O
00312001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(-n4cccn4)c3)cc2Cl)CS1(=O)=O
00313001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(N4CCS(=O)(=O)CC4)c3)cc2Cl)CS1(=O)=O
00314001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(-c4ccccc4)c3)cc2Cl)CS1(=O)=O
00315001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(-n4nccn4)c3)cc2Cl)CS1(=O)=O
00316001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccc(-c4cccnc4)cc3)cc2Cl)CS1(=O)=O
00317001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccc(-c4ccccn4)cc3)cc2Cl)CS1(=O)=O
00318001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccc(N4CCOCC4)nc3)cc2Cl)CS1(=O)=O
00319001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccc(-n4nccn4)cc3)cc2Cl)CS1(=O)=O
00320001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(-n4ccnc4)n3)cc2Cl)CS1(=O)=O
00321001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccc(-c4ncco4)cc3)cc2Cl)CS1(=O)=O
00322001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccc(-c4nccs4)cc3)cc2Cl)CS1(=O)=O
00323001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccc(-n4ccnn4)cc3)cc2Cl)CS1(=O)=O
00327001.cdx,Cc1cn(-c2cc(-c3cc(F)c([C@]4(C)CS(=O)(=O)N(C)C(=N)N4)s3)ccn2)cn1
00328001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccnc(-c4ccncc4)c3)cc2F)CS1(=O)=O
00329001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccnc(-c4cccnc4)c3)cc2F)CS1(=O)=O
00330001.cdx,Cc1cnn(-c2cc(-c3cc(F)c([C@]4(C)CS(=O)(=O)N(C)C(=N)N4)s3)ccn2)c1
00331001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccnc(-n4ccnc4)c3)cc2F)CS1(=O)=O
00332001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3ccnc(-n4cccn4)c3)cc2F)CS1(=O)=O
00335001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4cnc(C5CC5)nc4)nccc3c2Cl)CS1(=O)=O
00336001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(C5CC5)nc4)nccc3c2Cl)CS1(=O)=O
00337001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-n5cccn5)nc4)nccc3c2Cl)CS1(=O)=O
00341001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(C5CC(=O)N5)cc4)cccc3c2F)CS1(=O)=O
00342001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5ccc(F)cc5F)nc4)cccc3c2F)CS1(=O)=O
00343001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-n5ccnn5)cc4)cccc3c2F)CS1(=O)=O
00344001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5ccncc5)cc4)cccc3c2F)CS1(=O)=O
00345001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(N5CCS(=O)(=O)CC5)cc4)cccc3c2F)CS1(=O)=O
00346001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5nccn5C)cc4)cccc3c2F)CS1(=O)=O
