Name,SMILE
,Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1
,COc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,Fc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2
,COc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,COc1ccc2c(c1)Oc1ncnc(Nc3cccc(Br)c3)c1NC2
,COc1ccc2c(c1)Oc1ncnc(Nc3cccc(Br)c3)c1NC2
,Nc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,COc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,COc1ccc2c(c1)CNc1c(Nc3cccc(-c4ccccc4)c3)ncnc1O2
,Fc1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1Cl
,CS(=O)(=O)Nc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,COc1cc2c(cc1OC)Oc1ncnc(Nc3cccc(Br)c3)c1NC2
,CS(=O)(=O)Nc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,COc1ccc2c(c1)Oc1ncnc(Nc3ccc(F)c(Cl)c3)c1NC2
,Nc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2
,Fc1ccc2c(c1)CNc1c(Nc3cccc(-c4ccccc4)c3)ncnc1O2
,Fc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,COc1cc2c(cc1OC)Oc1ncnc(Nc3cccc(Br)c3)c1NC2
,Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2
,Fc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2
,C=CC(=O)Nc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
